"pair","dataset","dataset_label","chemical","year","gender","age_group","n","geo_mean","median","p25","p75"
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2015,"Female","45–64",81,3.27792488044622,3.1,2.1,5.6
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2015,"Female","65+",50,4.84691945863138,4.85,3.325,6
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2015,"Female","<18",30,1.92138937474068,2.15,1.425,2.675
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2015,"Male","18–44",100,3.77955834932427,3.6,2.3,5.825
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2015,"Male","45–64",59,6.25723930792296,5.9,3.9,10.55
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2015,"Male","65+",45,7.08526151003411,7.7,4.3,14
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2015,"Male","<18",38,2.58194090775777,2.4,1.55,3.875
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2017,"Female","18–44",363,1.73318527955958,1.7,1.1,2.75
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2017,"Female","45–64",297,3.0461324320647,2.8,1.7,5.1
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2017,"Female","65+",203,4.29543647874908,4.5,2.55,7.35
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2017,"Female","<18",114,1.51592424979393,1.4,1,2.075
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2017,"Male","18–44",334,2.99213164076549,3.1,2.1,4.7
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2017,"Male","45–64",296,4.55487848773497,4.5,2.9,7.4
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2017,"Male","65+",207,5.80937219790001,6.1,3.65,10.05
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXNFOS",2017,"Male","<18",115,1.9005035653222,1.8,1.3,2.6
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFBS",2013,"Female","18–44",117,0.07,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFBS",2013,"Female","45–64",71,0.0718094322697263,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFBS",2013,"Female","65+",73,0.0710139521607687,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFBS",2013,"Female","<18",39,0.07,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFBS",2013,"Male","18–44",103,0.07,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFBS",2013,"Male","45–64",86,0.0702909196754983,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFBS",2013,"Male","65+",37,0.07,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFBS",2013,"Male","<18",33,0.07,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFDE",2013,"Female","18–44",117,0.158880751023944,0.1,0.07,0.3
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFDE",2013,"Female","45–64",71,0.190194297109002,0.2,0.1,0.3
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFDE",2013,"Female","65+",73,0.200878021120847,0.2,0.1,0.4
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFDE",2013,"Female","<18",39,0.132660786823452,0.1,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFDE",2013,"Male","18–44",103,0.164706896246516,0.2,0.1,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFDE",2013,"Male","45–64",86,0.225225325360889,0.2,0.1,0.4
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFDE",2013,"Male","65+",37,0.287391698024539,0.3,0.2,0.4
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFDE",2013,"Male","<18",33,0.133630988462356,0.1,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFDE",2015,"Female","18–44",91,0.141327855130717,0.1,0.07,0.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXPFDE",2015,"Female","45–64",81,0.147397457361995,0.1,0.07,0.2
